Value Bets,Value Players,ratio_bets_players
127963.5,7586,1686.8375955707884
198382.47,10938,1813.6996708721888
106476.71,7392,1440.4316829004329
202130.68,11638,1736.8162914590137
181589.7,13347,1360.5282085861993
147838.9,10566,1399.194586409237
115347.82,6611,1744.7862653153834
116929.5,7505,1558.0213191205862
203807.90000000002,9273,2197.8636902836192
178653.71,12203,1464.0146685241334
105416.29999999999,7102,1484.3185018304703
99323.33,6097,1629.0524848286043
138636.1,8911,1555.7861070586914
77344.3,5986,1292.086535248914
165454.9,9753,1696.451348303086
123026.3,6274,1960.8909786420145
116461.52,5861,1987.0588636751406
60491.0,3792,1595.2267932489451
63751.2,3181,2004.1244891543538
184175.54,10801,1705.1711878529766
96760.3,6516,1484.9647022713323
106244.65,5764,1843.2451422623178
151107.27,10564,1430.398239303294
73989.7,4293,1723.4963894712323
156548.05,9716,1611.2397076986413
108583.6,5153,2107.1919270327962
210498.59,10863,1937.7574334898277
196947.7,12096,1628.205191798942
110808.29,5601,1978.3661846098908
138066.9,9090,1518.8877887788778
96700.0,6762,1430.050280981958
183062.7,10139,1805.530131176645
165658.86,9768,1695.934275184275
155034.81,8851,1751.6078409219297
85051.0,5119,1661.4768509474504
146861.09,10028,1464.5102712405264
210609.21,11751,1792.2662752106203
176275.24,10733,1642.3669058045282
121214.19,5959,2034.1364322872967
144787.5,12877,1124.3884445134736
104189.63,5519,1887.8352962493207
123227.2,8358,1474.3622876286192
84597.70000000001,4536,1865.0286596119934
84811.27,4135,2051.058524788392
70092.4,4544,1542.5264084507041
115507.15,8323,1387.8066802835515
177258.69999999998,12816,1383.1047128589262
94501.08,4569,2068.3099146421537
117600.7,9471,1241.692535107169
100082.41,5197,1925.7727535116412
208894.33,12049,1733.7067806456964
145824.2,8076,1805.6488360574544
183336.66,11406,1607.370331404524
143611.8,8831,1626.2235307439698
272934.3,12362,2207.849053551205
88169.36,5794,1521.7355885398688
103735.97,6111,1697.5285550646377
143380.84,9865,1453.4297009630004
93034.3,7802,1192.4416816200974
42613.6,2490,1711.3895582329317
109165.52,6620,1649.025981873112
116041.88,6726,1725.2732679155517
157036.47,10819,1451.4878454570662
120716.98,6196,1948.3050355067785
180165.7,10252,1757.3712446351933
134168.4,10108,1327.3486347447565
162227.4,11894,1363.9431646208172
116072.34,6132,1892.89530332681
171107.5,9481,1804.7410610695074
112469.29,5787,1943.4817694833246
184055.3,10236,1798.1174286830792
178040.54,9652,1844.5973891421468
160245.8,9610,1667.4901144640999
131771.4,6903,1908.9004780530204
136664.85,6571,2079.8181403134986
100952.06,5964,1692.6904761904761
102206.41,5667,1803.536439032998
87424.29,4550,1921.412967032967
178304.8,10265,1737.0170482221138
127392.4,8173,1558.6981524531996
167603.80000000002,8994,1863.5067822993108
97745.55,3821,2558.114367966501
103647.49,4576,2265.02381993007
98294.59999999999,6499,1512.4573011232496
97384.54,5652,1723.010261854211
228030.04,12863,1772.7593873901887
110769.65,4843,2287.2114391905843
